,arg1,arg2,relation
432,Carolina Cristofori Piva,Джозуэ Кардуччи,KNOWS
433,Теодор Вольфе,Вильгельм Райх,KNOWS
434,Abdication of Juan Carlos I,Хуан Карлос I,KNOWS
435,"Gell. 1,1",Пифагор,KNOWS
436,"Де Фрумери, Агнес",Огюст Роден,KNOWS
437,Heinrich Snethlage,"Снетляге, Мария Эмилия",KNOWS
438,Институт Чезаре Альфиери,Алессандро Пертини,KNOWS
439,French sociology,Эмиль Дюркгейм,KNOWS
440,Непорочное зачатие,Дева Мария,KNOWS
441,John C. Eastman,Дональд Трамп,KNOWS
442,Washington National Airport Terminal and South Hangar Line,Франклин Делано Рузвельт,KNOWS
443,Franz Löschnak,Бруно Крайский,KNOWS
444,Pharmacides,Гера,KNOWS
445,Kurt May,"Поль, Освальд",KNOWS
446,Fanny Tarnow,Therese Huber,KNOWS
447,Ambrogio De Marchi Gherini,Джузеппе Гарибальди,KNOWS
448,The Cave of Grigne (Lake Como),Леонардо да Винчи,KNOWS
449,Adolf Czettel,Бруно Крайский,KNOWS
450,Annelise Goerdeler,"Гюртнер, Франц",KNOWS
451,Тевтис,Афина,KNOWS
452,Earldom of Lade,Хакон Грьотгардссон,KNOWS
453,DiEM25,Янис Варуфакис,KNOWS
454,Eduard Robert Seibt,Франц Шлегельбергер,KNOWS
455,Леопольд Грац,Бруно Крайский,KNOWS
456,Wilhelmine Henne,Карл Франц Гебхардт,KNOWS
457,Nunciature of Eugenio Pacelli,Пий XII,KNOWS
458,Jutta Rach,Филипп Боулер,KNOWS
459,Siege of Milan,Аттила,KNOWS
460,"Дель Пилар, Марсело",Хосе Рисаль,KNOWS
461,Agelastos petra,Деметра,KNOWS
462,Erwin Gohrbandt,"Шрёдер, Оскар",KNOWS
463,Пабло Пикассо,"Матисс, Анри",KNOWS
464,Байонское отречение,Жозеф Бонапарт,KNOWS
465,"Кальвокоресси, Мишель",Морис Равель,KNOWS
466,"Gell. 1,3",Хилон,KNOWS
467,Montaigne y sus ensayos,Мишель де Монтень,KNOWS
468,Annelise Goerdeler,Франц Шлегельбергер,KNOWS
469,Colours not found in nature,Richard Barbieri,KNOWS
470,Самуил,Давид,KNOWS
471,"Крицингер, Вильгельм","Ламмерс, Ганс Генрих",KNOWS
472,Hongwu dynastic style,Чжу Юаньчжан,KNOWS
473,Freddie Burretti,Дэвид Боуи,KNOWS
474,Benjamin Höijer,Фридрих Вильгельм Йозеф фон Шеллинг,KNOWS
475,крещение Руси,Владимир Святославич,KNOWS
