,arg1,arg2,relation
20481,Линшоу-гунчжу,Хуэй-ди,SIBLING
20482,Иоганн Михаэль Гайдн,Йозеф Гайдн,SIBLING
20483,Бернард Обама,Барак Обама,SIBLING
20484,Clare Louise Cameron,Дэвид Кэмерон,SIBLING
20485,Ваньнянь-гунчжу,Хуэй-ди,SIBLING
20486,Джотириндранатх Тагор,Рабиндранат Тагор,SIBLING
20487,Лю Шоу,Мин-ди,SIBLING
20488,Эдмунд Войтыла,Иоанн Павел II,SIBLING
20489,Юлия Друзилла,Калигула,SIBLING
20490,Carl Friedrich Grimm,Якоб Гримм,SIBLING
20491,Carlo Leone,Джованни Леоне,SIBLING
20492,Жан Каронделет,Ферри Каронделет,SIBLING
20493,Джордже Джокович,Новак Джокович,SIBLING
20494,Christian Thorvald Kierulf,Otto Richard Kierulf,SIBLING
20495,Елюй Чжигу,Елюй Яогу,SIBLING
20496,Лилиана Генсбур,Серж Генсбур,SIBLING
20497,Лю Лилю,Мин-ди,SIBLING
20498,Эмилия Шопен,Фредерик Шопен,SIBLING
20499,Домициан,Тит,SIBLING
20500,Вильгельм фон Гумбольдт,Александр фон Гумбольдт,SIBLING
20501,"Стюарт, Маргарита (род. 1455)",Мэри Стюарт,SIBLING
20502,Цзыин,Эрши Хуан-ди,SIBLING
20503,безымянная дочь Бонапарте,Наполеон I,SIBLING
20504,Wuyashu,Ваньянь Уцимай,SIBLING
20505,Вэнь-ди,Хуэй-ди,SIBLING
20506,Chrothais,Карл Великий,SIBLING
20507,Квинт Фабий Максим Эмилиан,Публий Корнелий Сципион Эмилиан Африканский,SIBLING
20508,Jane Washington,Джордж Вашингтон,SIBLING
20509,"Галилей, Микеланджело",Галилео Галилей,SIBLING
20510,Лю Сяоинь,Чжан-ди,SIBLING
20511,"Бос, Сарат Чандра",Субхас Чандра Бос,SIBLING
20512,Рамсес VIII,Рамсес VI,SIBLING
20513,Лю У,Цзин-ди,SIBLING
20514,Sima Ying,Хуай-ди,SIBLING
20515,Филипп III де Крой,Шарль II де Крой,SIBLING
20516,Янпин-гунчжу,Хуэй-ди,SIBLING
20517,Кристина фон Диц,Питер Пауль Рубенс,SIBLING
20518,Плутон,Нептун,SIBLING
20519,Marcus Julius Gessius Bassianus,Александр Север,SIBLING
20520,Sima Ji,У-ди,SIBLING
20521,Синъян-гунчжу,Хуэй-ди,SIBLING
20522,Enriqueta Pinto Garmendia,Анибал Пинто,SIBLING
20523,Темулун,Чингисхан,SIBLING
20524,Jin Su,У-ди,SIBLING
20525,Alberto Montt Montt,Педро Монтт,SIBLING
20526,Лю Цзи,Хэ-ди (династия Хань),SIBLING
20527,Инчуань-гунчжу,Хуэй-ди,SIBLING
20528,Шарлотта Гримм,Вильгельм Гримм,SIBLING
20529,Плутон,Юпитер,SIBLING
20530,Хьюго Симпсон,Лиза Симпсон,SIBLING
20531,Фредерик Рембо,Артюр Рембо,SIBLING
20532,Amun-her-khepeshef,Рамсес VI,SIBLING
20533,Philippe de France,Людовик IX,SIBLING
20534,Исида,Рамсес VII,SIBLING
20535,Цинь Шихуанди,Цзыин,SIBLING
20536,Liu Ruyi,Вэнь-ди,SIBLING
20537,Вальдемар Прусский,Вильгельм II,SIBLING
20538,Karsandas Gandhi,Махатма Ганди,SIBLING
20539,Javier Ibáñez del Campo,Карлос Ибаньес дель Кампо,SIBLING
20540,Тит,Домициан,SIBLING
20541,Елюй Чаншоунюй,Шэн-цзун,SIBLING
20542,Leon Hendrix,Джими Хендрикс,SIBLING
20543,Леон Амундсен,Руаль Амундсен,SIBLING
20544,Totto Machiavelli,Никколо Макиавелли,SIBLING
20545,Ritesh S Kumar,2,SIBLING
20546,Лю Цянь,Хэ-ди (династия Хань),SIBLING
20547,María Gabriela Chávez,5,SIBLING
20548,Джеб Буш,Джордж Уокер Буш,SIBLING
20549,Лю Цзюй,Чжао-ди,SIBLING
20550,Orion Clemens,Марк Твен,SIBLING
20551,"Чайковский, Ипполит Ильич",Пётр Ильич Чайковский,SIBLING
20552,Сыма Янь,Хуэй-ди,SIBLING
20553,Иоганн Евангелист Гайдн,Йозеф Гайдн,SIBLING
20554,Дмитрий Ильич Ульянов,Владимир Ильич Ленин,SIBLING
20555,Антиохида,Антиох IV Эпифан,SIBLING
20556,Селевк IV Филопатор,Антиох IV Эпифан,SIBLING
20557,Роберт Пруст,Марсель Пруст,SIBLING
20558,Анатолий Ильич Чайковский,Пётр Ильич Чайковский,SIBLING
20559,Pareherwenemef,Рамсес VI,SIBLING
20560,Elli Kafka,Франц Кафка,SIBLING
20561,Вэйчан-гунчжу,Чжао-ди,SIBLING
20562,Rosalie Wagner,Рихард Вагнер,SIBLING
20563,Андрей Михайлович Достоевский,Фёдор Михайлович Достоевский,SIBLING
20564,"William II, Lord of Béthune",Конон де Бетюн,SIBLING
20565,Лю Цян,Шао-ди Гун,SIBLING
20566,Роберт I д’Артуа,Людовик IX,SIBLING
20567,Princess Yuan of Lu,Хуэй-ди,SIBLING
20568,Лю Фу,Мин-ди,SIBLING
20569,Елюй Яошину,Шэн-цзун,SIBLING
20570,Делла Дак,Дональд Дак,SIBLING
20571,Лю Чао,Шао-ди Хун,SIBLING
20572,Princess Gaoliu,Сыма Лунь,SIBLING
20573,Луций Сальвий Отон Тициан,Отон,SIBLING
20574,Лю Юэ,У-ди,SIBLING
20575,Лю Бин,Чжан-ди,SIBLING
20576,"John Tristan, Count of Anjou and Maine",Людовик IX,SIBLING
20577,Эдуард VI,Елизавета I,SIBLING
20578,Жан Каронделет,Клод Каронделет,SIBLING
20579,Саудамини Деви,Рабиндранат Тагор,SIBLING
20580,Лю Сяоцзи,Чжан-ди,SIBLING
20581,Цаого-гунчжу,Ваньянь Юнцзи,SIBLING
20582,Liu Ruyi,Хуэй-ди,SIBLING
20583,Юпитер,Нептун,SIBLING
20584,Янши-гунчжу,Чжао-ди,SIBLING
20585,"Генри Фицрой, герцог Ричмонд и Сомерсет",Елизавета I,SIBLING
20586,Princess Jingwu,Юань-ди,SIBLING
20587,Annaeus Mela,Луций Анней Сенека,SIBLING
20588,Abo Obama,Барак Обама,SIBLING
20589,"Клод Гамильтон, 1-й лорд Пейсли",Анна Гамильтон,SIBLING
20590,Хильдебранд I,Карл Мартелл,SIBLING
20591,Лю Тай,Шао-ди Хун,SIBLING
20592,Aaron Tippin,2,SIBLING
20593,Бектер,Чингисхан,SIBLING
20594,Jean d'Arc,Жанна д’Арк,SIBLING
20595,Лю Цинь,Юань-ди,SIBLING
20596,Елюй Хэлуво,Дао-цзун,SIBLING
20597,Ева Шлосс,"Франк, Марго",SIBLING
20598,John Carder Bush,Кейт Буш,SIBLING
20599,Септимия Октавилла,Септимий Север,SIBLING
20600,Сыма Юнь,Хуэй-ди,SIBLING
20601,Мэгги Симпсон,Барт Симпсон,SIBLING
20602,Птолемей Мемфисский,Птолемей X,SIBLING
20603,Лю Хунфу,Мин-ди,SIBLING
20604,Pepin,Карл Великий,SIBLING
20605,Joseph Maurras,"Моррас, Шарль",SIBLING
20606,Pareherwenemef,Рамсес IV,SIBLING
20607,Марко Джокович,Новак Джокович,SIBLING
20608,Meinhard Schwarzenegger,Арнольд Шварценеггер,SIBLING
20609,Аллегра Байрон,Ада Лавлейс,SIBLING
20610,Мария Франческа де Браганса,Педру I,SIBLING
20611,Sunil Chandra Bose,Субхас Чандра Бос,SIBLING
20612,"Гамильтон, Джеймс, 3-й граф Арран",Анна Гамильтон,SIBLING
20613,Princess Linying Li,Шан-ди,SIBLING
20614,Мария Ильинична Ульянова,Владимир Ильич Ленин,SIBLING
20615,Yelü Jiuge,Син-цзун,SIBLING
20616,Алоис Гитлер,Адольф Гитлер,SIBLING
20617,María Errázuriz,Федерико Эрразурис Экауррен,SIBLING
20618,Wanyan Wosai,Ваньянь Уцимай,SIBLING
20619,Сальвия,Отон,SIBLING
20620,Мао Цзэтань,Мао Цзэдун,SIBLING
20621,"Адамс, Лиза",Валери Адамс,SIBLING
20622,Sarah Lincoln Grigsby,Авраам Линкольн,SIBLING
20623,Михаил Михайлович Достоевский,Фёдор Михайлович Достоевский,SIBLING
20624,Ventura Blanco Encalada,Мануэль Бланко Энкалада,SIBLING
20625,Фаньчан-гунчжу,Хуэй-ди,SIBLING
20626,Ottla Kafka,Франц Кафка,SIBLING
20627,Nicolaus Johann van Beethoven,Людвиг ван Бетховен,SIBLING
20628,Мария-Кристина Бельгийская,Альберт II,SIBLING
20629,Иоганн Якоб Бах,Иоганн Себастьян Бах,SIBLING
20630,Antonia Gordiana,Гордиан II,SIBLING
20631,Беатрис Пуатье,Гильом IX Трубадур,SIBLING
20632,Wanyan Chala,Ваньянь Агуда,SIBLING
20633,Luis Montt Montt,Педро Монтт,SIBLING
20634,"Рихтгофен, Лотар фон","Рихтгофен, Манфред фон",SIBLING
20635,Лиза Симпсон,Барт Симпсон,SIBLING
20636,Тома Корнель,Пьер Корнель,SIBLING
20637,Крис Акино,Бенигно Акино III,SIBLING
20638,Elizabeth Kelly,Грейс Келли,SIBLING
20639,Эндрес Дюрер,Альбрехт Дюрер,SIBLING
20640,Bo Hammarskjöld,Даг Хаммаршёльд,SIBLING
20641,Флавия Домицилла Младшая,Домициан,SIBLING
20642,Ида Гитлер,Адольф Гитлер,SIBLING
20643,Aurelia Antonina,Гелиогабал,SIBLING
20644,"Грунд, Эдуард",Фридрих Вильгельм Грунд,SIBLING
20645,Ин Чэнцзяо,Цинь Шихуанди,SIBLING
20646,"Ли, Августа",Джордж Гордон Байрон,SIBLING
20647,Птолемей XIV,Клеопатра,SIBLING
20648,Hélène de Beauvoir,Симона де Бовуар,SIBLING
20649,Yelü Daoyin,Ши-цзун,SIBLING
20650,"Буш, Падди",Кейт Буш,SIBLING
20651,Тарик бин Ладен,Усама бен Ладен,SIBLING
20652,Ана де Хесус Португальская,Педру I,SIBLING
20653,Хемендранатх Тагор,Рабиндранат Тагор,SIBLING
20654,Сыма Ши,Сыма Лунь,SIBLING
20655,Yelü Anduan,Абаоцзи,SIBLING
20656,Лю Гун,Чжан-ди,SIBLING
20657,Елюй Чаогуй,Елюй Шулюй,SIBLING
20658,Эжен Гюго,Виктор Гюго,SIBLING
20659,Санджай Ганди,Раджив Ганди,SIBLING
20660,Yelü Boshi,Син-цзун,SIBLING
20661,Allan Melville,Герман Мелвилл,SIBLING
20662,Лю Ну,Чжан-ди,SIBLING
20663,Лю Иван,Мин-ди,SIBLING
20664,Клеопатра I,Селевк IV Филопатор,SIBLING
20665,"Сайрус, Трэйс",Майли Сайрус,SIBLING
20666,Ваньянь Юньгун,Ваньянь Юнцзи,SIBLING
20667,Presley Hernandez,Бруно Марс,SIBLING
20668,Tiberius Julius Caesar Germanicus,Калигула,SIBLING
20669,Мария Тереза Португальская,Педру I,SIBLING
20670,Лев Сергеевич Пушкин,Александр Сергеевич Пушкин,SIBLING
20671,Гийом Саркози,Николя Саркози,SIBLING
20672,Elizabeth Medora Leigh,Ада Лавлейс,SIBLING
20673,Ульпия Марциана,Траян,SIBLING
20674,Жером Бонапарт,Наполеон I,SIBLING
20675,Людвиг Эмиль Гримм,Вильгельм Гримм,SIBLING
20676,Ваньянь Сюнь,Ваньянь Цзин,SIBLING
20677,Лю Буи,Шао-ди Гун,SIBLING
20678,Антиох Младший,Селевк IV Филопатор,SIBLING
20679,Eduard Schumann,Роберт Шуман,SIBLING
20680,Sima Jian,У-ди,SIBLING
20681,Sarah Franklin,Джон Франклин,SIBLING
20682,Ronni Pedersen,Ники Педерсен,SIBLING
20683,Lord James Douglas,"Уильям Дуглас, герцог Гамильтон",SIBLING
20684,Andrés Aylwin,Патрисио Эйлвин,SIBLING
20685,Юнона,Нептун,SIBLING
20686,Ваньянь Уцимай,Ваньянь Агуда,SIBLING
20687,Wanyan Wugunai,Ваньянь Агуда,SIBLING
20688,Сыма Цзянь,Хуай-ди,SIBLING
20689,Лю Нань,Хэ-ди (династия Хань),SIBLING
20690,"Кайнд, Рослин",Барбра Стрейзанд,SIBLING
20691,Лю Шунь,У-ди,SIBLING
20692,Princess Nanyang,Сыма Лунь,SIBLING
20693,Liu Jian,Хуэй-ди,SIBLING
20694,Клеопатра II,Птолемей VIII Эвергет,SIBLING
20695,Lothar Vosseler,Герхард Шрёдер,SIBLING
20696,"David Stewart, Earl of Moray",Мэри Стюарт,SIBLING
20697,Benedetto da Fiesole,Фра Беато Анджелико,SIBLING
20698,Жозеф Бонапарт,Наполеон I,SIBLING
20699,Javiera Carrera Verdugo,Доминика,SIBLING
20700,Корнелия Шлоссер,Иоганн Вольфганг фон Гёте,SIBLING
20701,Луций Корнелий Сципион Азиатик,Публий Корнелий Сципион Африканский,SIBLING
20702,Krishna Hutheesing,Джавахарлал Неру,SIBLING
20703,Сыма Чжоу,Сыма Лунь,SIBLING
20704,Meryatum II,Рамсес VI,SIBLING
20705,Arria Lupula,Антонин Пий,SIBLING
20706,Джимми Стюарт,"Стюарт, Джеки",SIBLING
20707,Эрши Хуан-ди,Цзыин,SIBLING
20708,Alfred Lamert Dickens,Чарльз Диккенс,SIBLING
20709,Гуанпин-гунчжу,Хуэй-ди,SIBLING
20710,Гримоальд Младший,Карл Мартелл,SIBLING
20711,Лю Буи,Шао-ди Хун,SIBLING
20712,Паулу да Гама,Васко да Гама,SIBLING
20713,Трифаена,Птолемей IX,SIBLING
20714,Казимир Пилсудский,Юзеф Пилсудский,SIBLING
20715,Туа,Рамсес II,SIBLING
20716,Джеки Джексон,Майкл Джексон,SIBLING
20717,Клод Каронделет,Ферри Каронделет,SIBLING
20718,Wanyan Yongqing,Ваньянь Дигунай,SIBLING
20719,"Чаплин, Сидни",Чарли Чаплин,SIBLING
20720,Enrique Salvador Sanfuentes,Хуан Луис Санфуэнтес,SIBLING
20721,Карломан,Карл Великий,SIBLING
20722,Лю Сяо,Юань-ди,SIBLING
20723,Susan Darwin,Чарльз Дарвин,SIBLING
20724,Нил Коннери,Шон Коннери,SIBLING
20725,Liu You,Вэнь-ди,SIBLING
20726,Юлия Младшая,Гай Юлий Цезарь,SIBLING
20727,Шарлотта Гримм,Якоб Гримм,SIBLING
20728,Hilary Arthur Reuel Tolkien,Джон Рональд Руэл Толкин,SIBLING
20729,Лю Шоу,Хэ-ди (династия Хань),SIBLING
20730,Шао-ди Хун,Шао-ди Гун,SIBLING
20731,Лю Дань,Чжао-ди,SIBLING
20732,Sima Gan,Сыма Лунь,SIBLING
20733,Жозефина Шарлотта Бельгийская,Альберт II,SIBLING
20734,Terry Oldfield,Майк Олдфилд,SIBLING
20735,Альфонс де Пуатье,Людовик IX,SIBLING
20736,Береника IV,Клеопатра,SIBLING
20737,Елюй Бей,Елюй Яогу,SIBLING
20738,Елюй Лунъю,Шэн-цзун,SIBLING
20739,Мария I,Елизавета I,SIBLING
20740,Гета,Каракалла,SIBLING
20741,Wanyan Gao,Ваньянь Уцимай,SIBLING
20742,Yelü Yindidan,Абаоцзи,SIBLING
20743,Auma Obama,Барак Обама,SIBLING
20744,Лаодика,Селевк II Каллиник,SIBLING
20745,Людовик I Бонапарт,Наполеон I,SIBLING
20746,Уань-гунчжу,Хуэй-ди,SIBLING
20747,"Martin Cecil, 7th Marquess of Exeter",Дэвид Сесил,SIBLING
20748,Мигел I,Педру I,SIBLING
20749,Yelü Zhongyuan,Син-цзун,SIBLING
20750,Александр Ильич Ульянов,Владимир Ильич Ленин,SIBLING
20751,Pauline Beyle,Стендаль,SIBLING
20752,Гелиогабал,Александр Север,SIBLING
20753,Октавия Старшая,Октавиан Август,SIBLING
20754,Ксавье де Голль,Шарль де Голль,SIBLING
20755,Анния Корнифиция Фаустина,Марк Аврелий,SIBLING
20756,Гизела,Карл Великий,SIBLING
20757,Robert Moszkowicz,Bram Moszkowicz,SIBLING
20758,Ольга Сергеевна Павлищева,Александр Сергеевич Пушкин,SIBLING
20759,Jacques de Gaulle,Шарль де Голль,SIBLING
20760,Анна Ильинична Елизарова-Ульянова,Владимир Ильич Ленин,SIBLING
20761,Селевк III Керавн,Антиох III Великий,SIBLING
20762,Карл Шуберт,Франц Шуберт,SIBLING
20763,Princess Yuan of Lu,Вэнь-ди,SIBLING
20764,Caroline Sarkozy,Николя Саркози,SIBLING
20765,Анна Гамильтон,"Джон Гамильтон, 1-й маркиз Гамильтон",SIBLING
20766,Харальд Бор,Нильс Бор,SIBLING
20767,Корнелия Сципиона,Юлия Старшая,SIBLING
20768,Princess Pingyang,Чэн-ди,SIBLING
20769,"Thomas Lincoln, Jr.",Авраам Линкольн,SIBLING
20770,"Томас Бразертон, 1-й граф Норфолк",Эдуард II,SIBLING
20771,Сьюзен Адамс,Дуглас Адамс,SIBLING
20772,Бельгутей,Чингисхан,SIBLING
20773,Сыма Мо,Хуэй-ди,SIBLING
20774,Хачиун,Чингисхан,SIBLING
20775,Wanyan Wodai,Ваньянь Уцимай,SIBLING
20776,Рэнди Джексон,Майкл Джексон,SIBLING
20777,Мария Изабелла Португальская,Педру I,SIBLING
20778,Яхмос-Нефертари,Яхмос I,SIBLING
20779,Maurice Otlet,Поль Отле,SIBLING
20780,Скеджа,Мазаччо,SIBLING
20781,Лю Цзюньи,Чжан-ди,SIBLING
20782,Aemilia,Публий Корнелий Сципион Эмилиан Африканский,SIBLING
20783,Adelais,Карл Великий,SIBLING
20784,Sima Wei,Хуэй-ди,SIBLING
20785,"Льорис, Готье","Льорис, Юго",SIBLING
20786,Беренгария Кастильская,Бланка Кастильская,SIBLING
20787,Tania Rachel Cameron,Дэвид Кэмерон,SIBLING
20788,Бодуэн I,Альберт II,SIBLING
20789,"Jose Cojuangco, Jr.",Корасон Акино,SIBLING
20790,Рикки Уайлд,Ким Уайлд,SIBLING
20791,Тео ван Гог,Винсент Ван Гог,SIBLING
20792,Ignotus Julius Caesar Germanicus,Калигула,SIBLING
20793,Отто Гитлер,Адольф Гитлер,SIBLING
20794,Marcus Kasner,Ангела Меркель,SIBLING
20795,"Эдмунд Вудсток, 1-й граф Кент",Эдуард II,SIBLING
20796,"Нётер, Фриц",Эмми Нётер,SIBLING
20797,Margaret Shakespeare,Уильям Шекспир,SIBLING
20798,Памела Спрингстин,Брюс Спрингстин,SIBLING
20799,Шао-ди Гун,Шао-ди Хун,SIBLING
20800,Raditz,Сон Гоку,SIBLING
20801,Лю Шэн,У-ди,SIBLING
20802,Тибурга (II) Оранская,Раймбаут Оранский,SIBLING
20803,Сэмюэл Вашингтон,Джордж Вашингтон,SIBLING
20804,Рамсес VI,Рамсес IV,SIBLING
20805,Vibia Aurelia Sabina,Коммод,SIBLING
20806,Гензебе Дибаба,Тирунеш Дибаба,SIBLING
20807,Тиа,Рамсес II,SIBLING
20808,Оливье Жискар д’Эстен,Валери Жискар д’Эстен,SIBLING
20809,Butler Washington,Джордж Вашингтон,SIBLING
20810,Ла Тойя Джексон,Майкл Джексон,SIBLING
20811,Фердинанд Шуберт,Франц Шуберт,SIBLING
20812,"Мурофуси, Юка",Кодзи Мурофуси,SIBLING
20813,Рем,Ромул,SIBLING
20814,Yelü Saige,Син-цзун,SIBLING
20815,Карл I,Людовик IX,SIBLING
20816,Антиохида,Селевк IV Филопатор,SIBLING
20817,Лю Кан,Хэ-ди (династия Хань),SIBLING
20818,Сыма Хуэй,Хуэй-ди,SIBLING
20819,Elisabeth van Gogh,Винсент Ван Гог,SIBLING
20820,José Elías Balmaceda,Хозе Мануэль Бальмаседа,SIBLING
20821,Annia Cornificia Faustina Minor,Коммод,SIBLING
20822,Wanyan Wugunai,Ваньянь Уцимай,SIBLING
20823,Gaius Julius Caesar Germanicus Major,Калигула,SIBLING
20824,Ottilie Brockhaus,Рихард Вагнер,SIBLING
20825,Wanyan Chala,Ваньянь Уцимай,SIBLING
20826,"Альфонсо, граф Честер",Эдуард II,SIBLING
20827,Лю Янь,Мин-ди,SIBLING
20828,Marie-Isabelle Taddeï,Фредерик Таддеи,SIBLING
20829,Wanyan Ang,Ваньянь Агуда,SIBLING
20830,"Колумб, Бартоломео",Христофор Колумб,SIBLING
20831,Елюй Яньчэгэ,Елюй Шулюй,SIBLING
20832,Thierry Séchan,Рено Сешан,SIBLING
20833,Кармен Фрей,Эдуардо Фрей Руис-Тагле,SIBLING
20834,Джоанна Акрская,Эдуард II,SIBLING
20835,Михаил Джугашвили,Иосиф Виссарионович Сталин,SIBLING
20836,Фридрих Вильгельм Любке,Генрих Любке,SIBLING
20837,Лю Сюй,Чжао-ди,SIBLING
20838,Лю Цян,Шао-ди Хун,SIBLING
20839,Laure Moulin,Жан Мулен,SIBLING
20840,Элия Домиция Паулина,Адриан,SIBLING
20841,Titus Aurelius Fulvus Antoninus,Коммод,SIBLING
20842,Мафальда Кастильская,Бланка Кастильская,SIBLING
20843,Emily Darwin,Чарльз Дарвин,SIBLING
20844,Александр Север,Гелиогабал,SIBLING
20845,Marie-Madeleine de Saint Exupéry,Антуан де Сент-Экзюпери,SIBLING
20846,Antoine Corneille,Пьер Корнель,SIBLING
20847,"Пиньера, Хосе",Себастьян Пиньера,SIBLING
20848,Синьфэн-гунчжу,Хуэй-ди,SIBLING
20849,Yelü Hegudian,Цзин-цзун,SIBLING
20850,Хенутмира,Рамсес II,SIBLING
20851,Hermann Heuss,Теодор Хойс,SIBLING
20852,Anna Maria Dalí,Сальвадор Дали,SIBLING
20853,Германик,Клавдий,SIBLING
20854,Лю Юй,Юань-ди,SIBLING
20855,Огастин Вашингтон,Джордж Вашингтон,SIBLING
20856,Милдред Вашингтон,Джордж Вашингтон,SIBLING
20857,Антифон,Платон,SIBLING
20858,Maginel Wright Enright,"Райт, Фрэнк Ллойд",SIBLING
20859,Иупут II,Пиопи II,SIBLING
20860,"Archibald Douglas, 1st Earl of Ormond","Уильям Дуглас, герцог Гамильтон",SIBLING
20861,Валери Байден Оуэнс,Джо Байден,SIBLING
20862,Prince Jianglü,Эрши Хуан-ди,SIBLING
20863,Maria Johanna Elisabeth Adenauer,Конрад Аденауэр,SIBLING
20864,Yelü Houabu,Цзин-цзун,SIBLING
20865,Eric Hernandez,Бруно Марс,SIBLING
20866,Марлон Джексон,Майкл Джексон,SIBLING
20867,Клеопатра Селена I,Птолемей IX,SIBLING
20868,Tony Rock,Крис Рок,SIBLING
20869,Ваньянь Селу,Ваньянь Юнцзи,SIBLING
20870,Санчо Кастильский,Бланка Кастильская,SIBLING
20871,Джеймс Байден,Джо Байден,SIBLING
20872,Hedevig baronesse Løvendal,Ульрих Фридрих Вольдемар Левендаль,SIBLING
20873,Ваньянь Шунянь,Ваньянь Юнцзи,SIBLING
20874,John Lynch,Дэвид Линч,SIBLING
20875,Пентаур,Рамсес IV,SIBLING
20876,Сыма Цзин,Хуэй-ди,SIBLING
20877,Санча Кастильская,Бланка Кастильская,SIBLING
20878,Анния Аврелия Галерия Фаустина,Коммод,SIBLING
20879,Лаура Альенде,Сальвадор Альенде,SIBLING
20880,Olivier Sarkozy,Николя Саркози,SIBLING
20881,Richard Shakespeare,Уильям Шекспир,SIBLING
20882,Юрий Фёдорович Стравинский,Игорь Стравинский,SIBLING
20883,Juander Santos,Лугелин Сантос,SIBLING
20884,Абель Гюго,Виктор Гюго,SIBLING
20885,Сянчэн-гунчжу,Хуэй-ди,SIBLING
20886,Друз Старший,Тиберий,SIBLING
20887,Лю Цан,Мин-ди,SIBLING
20888,Ливилла,Клавдий,SIBLING
20889,Чаншань,Хуэй-ди,SIBLING
20890,Хью Эдвин Родэм,Хиллари Клинтон,SIBLING
20891,Ангела Гитлер,Адольф Гитлер,SIBLING
20892,Marie-Agnès de Gaulle,Шарль де Голль,SIBLING
20893,Друз Юлий Цезарь,Калигула,SIBLING
20894,Тит Флавий Сабин,Веспасиан,SIBLING
20895,Septimia Minor,Каракалла,SIBLING
20896,Лю Юй,У-ди,SIBLING
20897,Raliatbehn Gandhi,Махатма Ганди,SIBLING
20898,Abdallah Marrash,"Марраш, Франсис",SIBLING
20899,Диана Федерер,Роджер Федерер,SIBLING
20900,Jacques of Arc,Жанна д’Арк,SIBLING
20901,Yelü Louguo,Ши-цзун,SIBLING
20902,Лю Хуэй,Чжан-ди,SIBLING
20903,Лоуренс Вашингтон,Джордж Вашингтон,SIBLING
20904,Лю Шу,Хэ-ди (династия Хань),SIBLING
20905,Ваньянь Юншэн,Ваньянь Юнцзи,SIBLING
20906,Yelü Gou'er,Син-цзун,SIBLING
20907,Валентен Лавиллени,Рено Лавиллени,SIBLING
20908,Хьюго Симпсон,Барт Симпсон,SIBLING
20909,Пинъян,Хуэй-ди,SIBLING
20910,Лаодика IV,Селевк IV Филопатор,SIBLING
20911,Птолемей VI Филометор,Птолемей VIII Эвергет,SIBLING
20912,Muliben Gandhi,Махатма Ганди,SIBLING
20913,Маргарита Английская,Эдуард II,SIBLING
20914,Фернандо Кастильский,Бланка Кастильская,SIBLING
20915,Isabelle Rimbaud,Артюр Рембо,SIBLING
20916,Valli Kafka,Франц Кафка,SIBLING
20917,Самуэль Линнеус,Карл Линней,SIBLING
20918,Александра Ильинична Чайковская,Пётр Ильич Чайковский,SIBLING
20919,Markus Löw,Йоахим Лёв,SIBLING
20920,Изабелла Мария Португальская,Педру I,SIBLING
20921,Агриппина Младшая,Калигула,SIBLING
20922,Луций Корнелий Лентул Марцеллин,Юлия Старшая,SIBLING
20923,Henry Lyell,"Лайель, Чарлз",SIBLING
20924,Кристина Кало,Фрида Кало,SIBLING
20925,Eduardo Alessandri Rodríguez,Хорхе Алессандри Родригес,SIBLING
20926,Avril Nora Blair,Джордж Оруэлл,SIBLING
20927,Стефания Армянская,Забел,SIBLING
20928,Елюй Волитай,Дао-цзун,SIBLING
20929,Лиля Юрьевна Брик,Эльза Триоле,SIBLING
20930,Елюй Шугэ,Шэн-цзун,SIBLING
20931,Лунлюй-гунчжу,У-ди,SIBLING
20932,Julia Fadilla,Антонин Пий,SIBLING
20933,Яслам бин Ладен,Усама бен Ладен,SIBLING
20934,Джанет Джексон,Майкл Джексон,SIBLING
20935,Лю Цзян,Мин-ди,SIBLING
20936,Carl Friedrich Grimm,Вильгельм Гримм,SIBLING
20937,Гильберт Шекспир,Уильям Шекспир,SIBLING
20938,Потона,Платон,SIBLING
20939,Елюй Баосиньну,Дао-цзун,SIBLING
20940,Alva Garbo,Грета Гарбо,SIBLING
20941,Ladislao Errázuriz Echaurren,Федерико Эрразурис Экауррен,SIBLING
20942,"Гамильтон, Джеймс, 7-й герцог Гамильтон","Смит-Стенли, Елизавета",SIBLING
20943,Marianne Darwin,Чарльз Дарвин,SIBLING
20944,Khaemwaset,Рамсес IV,SIBLING
20945,Сыма Ся,Хуэй-ди,SIBLING
20946,Энрике I,Бланка Кастильская,SIBLING
20947,Wanyan Chong,Ваньянь Дигунай,SIBLING
20948,Бернис Бейкер Миракл,Мэрилин Монро,SIBLING
20949,Tahiti Hernandez,Бруно Марс,SIBLING
20950,"Гамильтон, Дуглас, 8-й герцог Гамильтон","Смит-Стенли, Елизавета",SIBLING
20951,José María Balmaceda Fernández,Хозе Мануэль Бальмаседа,SIBLING
20952,Майя Эйнштейн,Альберт Эйнштейн,SIBLING
20953,Ваньянь Юндао,Ваньянь Юнцзи,SIBLING
20954,Peter Kierkegaard,Сёрен Кьеркегор,SIBLING
20955,Liu Boji,Гуанъу-ди,SIBLING
20956,Domitia Faustina,Коммод,SIBLING
20957,Yelü Sala,Цзин-цзун,SIBLING
20958,Ваньянь Чанлэ,Ваньянь Юнцзи,SIBLING
20959,"Ом, Мартин",Георг Симон Ом,SIBLING
20960,Baudouin de Béthune,Конон де Бетюн,SIBLING
20961,Джесси Гарон Пресли,Элвис Пресли,SIBLING
20962,Георгий Джугашвили,Иосиф Виссарионович Сталин,SIBLING
20963,Жаклин Паскаль,Блез Паскаль,SIBLING
